product_id,review_id,word_count,character_count,average_word_length,sentence_count,uppercase_ratio,exclamation_count,question_count,punctuation_ratio,lexical_diversity,repeated_word_ratio,promotional_phrase_count,review_length,rating,review_count,average_rating,rating_variance,average_review_length,max_similarity,mean_similarity,similar_pair_ratio,rating_deviation,label
B085DTN6R2,"R1QETDIPRCX4S0,RARQYQ8POOFA9,R952F931MCOR5,R3LLDHV3WXED9C,R282YHZ5A4GMY4,R34W3B1C7RP98Q,R1467F9VL3DLSY,R3KLQRR1UM44JG",158,890,4.550632911392405,11,0.05750350631136045,0,0,0.03146067415730337,0.620253164556962,0.379746835443038,0,890,4.2,3,4.2,0.0,890.0,0.9999999999999999,0.9999999999999999,1.0,0.0,0
B09KLVMZ3B,"R20XIOU25HEX80,R2X55FA2EEUEYM,R393Z224NBTDLN,R3Q4ZCHWSAQD5B,R1AE3A4NSVM9SC,R2U1YAAZE07I1V,R36NVL58WQ7D64,R1E7GPZ569TBIZ",177,969,4.372881355932203,16,0.04450261780104712,0,0,0.03508771929824561,0.519774011299435,0.480225988700565,3,969,4.1,3,4.1,0.0,969.0,1.0000000000000002,1.0000000000000002,1.0,0.0,0
B083342NKJ,"R2JPQNKCOE10UK,RQI80JG2WZXNF,R2LYZ4CUWPMUJN,R1ZBD2ZB2ZYEWX,R2ITEDC9KOCY3N,R1115HIQP3BKKJ,R31OMS6DNMI7M,R2DCFXQMUNO93L",123,697,4.504065040650406,12,0.059813084112149535,0,0,0.06169296987087518,0.6178861788617886,0.3821138211382114,0,697,4.4,3,4.4,0.0,681.0,0.9999999999999999,0.988899133680409,1.0,0.0,0
B0B6F7LX4C,"R13UTIA6KOF6QV,R2UGDZSGFF01K7,RHHIZ45VYU5X6,R14N9HBE5EIUY0,R2WMW096T9Y0OU,R1SHIIE6M72825,R22P6BE9DBME4F,R2TEINENXTIHT2",175,970,4.434285714285714,15,0.07339449541284404,0,0,0.04639175257731959,0.6057142857142858,0.3942857142857143,0,970,4.2,1,4.2,0.0,970.0,0.0,0.0,0.0,0.0,0
B082LSVT4B,"RGIQEG07R9HS2,R1SMWZQ86XIN8U,R2J3Y1WL29GWDE,RYGGS0M09S3KY,R17KQRUTAN5DKS,R3AAQGS6HP2QUK,R1HDNOG6TO2CCA,R3PHKXYA5AFEOU",254,1368,4.322834645669292,13,0.04044117647058824,0,0,0.03070175438596491,0.515748031496063,0.484251968503937,0,1368,4.0,2,4.0,0.0,1368.0,1.0000000000000009,1.0000000000000009,1.0,0.0,0
B08WRBG3XW,"R2BP8Y5OJXKJLF,R218813TNRHNSY,R3VIKEVJ5DBF5G,R2PQNCTR8TQCT4,R3FI11UEJC9ZOJ,R3ULCCZZHBNLA4,RELIQ4H7CYX2Q,R3ALQNTJN4ER9N",186,1011,4.354838709677419,9,0.038605230386052306,2,0,0.032640949554896145,0.5967741935483871,0.4032258064516129,0,1011,4.1,2,4.1,0.0,1018.0,0.9011709190277899,0.9011709190277899,1.0,0.0,0
B08DPLCM6T,"R2PNR69G0BQG2F,R31A0WWDEYMKEW,R2C4XEWFLVU7JV,RYWES5AT5FQO6,R1PGWAY5TEWLT4,R32542OPR0QC4I,R2JDJEVZ2G7EEK,R36EHHPAQNSSOF",98,530,4.275510204081633,10,0.059665871121718374,0,0,0.0509433962264151,0.7040816326530612,0.29591836734693877,0,530,4.3,2,4.3,0.0,530.0,1.0,1.0,1.0,0.0,0
B09C6HXFC1,"R12D1BZF9MU8TN,R32MNCWO5LGFCG,RZU3UK8OZKD6X,R3BSTKR3JUW6GY,R1ARVYPXS4XPB7,R1V6GDYE2IBX8O,R28EG2PXZTJL90,R2SQNU7OIOOLHT",144,807,4.4375,6,0.03610675039246468,6,0,0.040892193308550186,0.6180555555555556,0.3819444444444444,0,807,4.5,3,4.5,0.0,807.0,1.0000000000000009,1.0000000000000009,1.0,0.0,0
B085194JFL,"R1GYK05NN6747O,R1J21BZ29NGQF9,R16JCHEILBYOMW,R2WVVS88M7SH18,R2MQ3VB8ZTUS48,RBJPTKHYQ7G7U,R37PKO5FUPJW35,R38R2YC2J2BMWR",197,1068,4.340101522842639,13,0.10705882352941176,0,0,0.031835205992509365,0.5685279187817259,0.43147208121827413,1,1068,3.7,2,3.7,0.0,1068.0,1.0000000000000002,1.0000000000000002,1.0,0.0,0
B09F6S8BT6,"R1SN0D4DFBKAZI,R1SX5L77L2CD6V,R1NAZ6M4QBUJMK,R25I5FXOJA76KS,R32V7DQLDSKJ99,R8QWY8HXI120P,R2OZPGGMUCLSC1,R1G4SA1P865EIS",145,792,4.324137931034483,10,0.051118210862619806,0,1,0.03787878787878788,0.5379310344827586,0.46206896551724136,0,792,4.3,2,4.3,0.0,792.0,1.0000000000000002,1.0000000000000002,1.0,0.0,0
B09NHVCHS9,"R3F4T5TRYPTMIG,R3DQIEC603E7AY,R1O4Z15FD40PV5,RDVX50PD4CTFE,R3H6WKG0TA5CGU,R3Q3L1KP5QWPV3,RU0LU2PAIIME,R20FTANBPFA653",131,661,3.9236641221374047,17,0.08300395256916997,0,0,0.06505295007564296,0.5877862595419847,0.4122137404580153,0,661,4.0,3,4.0,0.0,661.0,1.0000000000000004,1.0000000000000004,1.0,0.0,0
B0B1YVCJ2Y,"R1EBS3566VCSCG,R24MB66WRPSN2A,R25UU2M1B9BO5X,R1NXW7PGVND2LE,R3OSBPH7X9AQUK,R2I8RVEPDM0IMQ,R5RES2LABIW7Q,R3A3IRV8ZWP1U9",900,5120,4.417777777777777,75,0.04973221117061974,0,0,0.055859375,0.45444444444444443,0.5455555555555556,1,5120,4.3,1,4.3,0.0,5120.0,0.0,0.0,0.0,0.0,0
B01M4GGIVU,"R2DIHMHOPYEASB,R24RHE9B30YXWQ,R3DYXQZQA6PPHM,R2458DMQ9C2Z4F,R36C67830VNHAA,R2GE3ZI47UVVO,R1XMBPKJ1QP1Q9,R1L6PX82T6UT6P",265,1369,3.9962264150943394,28,0.05338417540514776,4,0,0.04821037253469686,0.5773584905660377,0.4226415094339623,0,1369,4.2,2,4.2,0.0,1369.0,0.9999999999999932,0.9999999999999932,1.0,0.0,0
B08B42LWKN,"R3COVVOP2R7Z28,R2T6WHEO2ONNDD,RUFFV2QR43OCM,R2LK4WPIHJ7WDA,R6IPR9FHZ5BOT,R3DU4LFGTAIEMN,RVHHM5FW31JN1,R1QA870NJWIODF",772,4113,4.224093264248705,61,0.040222772277227724,0,1,0.03306588864575735,0.41580310880829013,0.5841968911917098,2,4113,4.2,1,4.2,0.0,4113.0,0.0,0.0,0.0,0.0,1
B094JNXNPV,"R249YCZVKYR5XD,R1GHL3EYAQ4ZMT,R1M0NVGZXK8NGO,R3O3MTC9L2VAJ5,RS2B5ERC0SV1O,RY1GC09VYZQT8,R29MVX7H69YMY5,R2M6TTXAWRQT5G",204,1039,4.044117647058823,6,0.030303030303030304,0,0,0.021174205967276226,0.5882352941176471,0.4117647058823529,0,1039,4.0,2,4.0,0.0,1039.0,0.9999999999999999,0.9999999999999999,1.0,0.0,0
B09W5XR9RT,"R1Y30KU04V3QF4,RK3DSUGKIZT8Z,R3BIG7J6V2JZTU,R1QI1HTJPGLS5O,R3SETXTOZ47CM4,R10SL1Q7F6CHBK,R1CBYX6RCGU739,R3PGNXSPA35NB3",147,765,4.068027210884353,15,0.04697986577181208,4,0,0.0457516339869281,0.5510204081632653,0.4489795918367347,0,765,4.4,3,4.4,0.0,765.0,1.0000000000000002,1.0000000000000002,1.0,0.0,0
B077Z65HSD,"R1G4I5FLAHM16P,R1DXRMVWV2OVE8,R2BJFG3I9TAZ2P,R35RERUQG5AERU,RQVMA35UH4D2P,R2WKO9Y6VGUOOP,R1NECHJ8DC9INS,RDDDU5N0JHZS7",184,1033,4.521739130434782,16,0.06674907292954264,1,0,0.031945788964181994,0.6902173913043478,0.30978260869565216,0,1033,4.3,3,4.3,0.0,1033.0,0.9999999999999996,0.9999999999999996,1.0,0.0,0
B00NH11PEY,"R1C8MVU3EIX56Y,R10RUXC7JD5S4I,R1AFBZ5PYTHO1Z,R3GQL7YKAFJMEN,R3B6H5JPG134KN,RUG04XHXRXK95,R2Q1OYOIJI5673,RJX2WGB0X99SY",247,1360,4.368421052631579,21,0.06747891283973759,0,2,0.04264705882352941,0.562753036437247,0.43724696356275305,0,1360,4.5,2,4.5,0.0,1360.0,0.9999999999999998,0.9999999999999998,1.0,0.0,0
B09CMM3VGK,"R223OIZPTZ994S,RATMJ847EPDQX,RHWJXUIB7QJY4,RKKX7CGMNCZLA,RL8AFQ3JO8B1N,R152XS08W2OG38,R2RS0DMJ29X2W6,RLLQ8T7VXWR65",260,1346,4.038461538461538,15,0.023166023166023165,2,0,0.03194650817236255,0.6076923076923076,0.3923076923076923,0,1346,4.0,2,4.0,0.0,1346.0,1.0000000000000002,1.0000000000000002,1.0,0.0,0
B08QSC1XY8,"R2S0AYWUV349HP,R35OW9CYQNAYHY,R3B3DDF1D5NULK,R3LZQDRMNS5CZO,RUGI31F4HDHOV,R24GFJRFT12S6S,R231AEG1IO02JM,RD31MI3UMAXP8",135,708,4.0814814814814815,17,0.06398537477148081,1,0,0.05649717514124294,0.6074074074074074,0.3925925925925926,0,708,4.3,2,4.3,0.0,708.0,0.999999999999997,0.999999999999997,1.0,0.0,0
B008FWZGSG,"R2Z9ENI1BK4EAB,R2JTBG4GO7WPMG,R3GKCN4UH999M8,R3EGXE69JQH9AG,RCX9JVSY2ISRL,R1UVGU3RQMOG49,R2VQFSALVKRALF,R1M45F72399D3L",138,741,4.27536231884058,12,0.06445993031358885,0,0,0.058029689608636977,0.6594202898550725,0.34057971014492755,0,741,4.3,2,4.3,0.0,729.0,0.9850806968186202,0.9850806968186202,1.0,0.0,0
B0B4HJNPV4,"R1Q323BB35OP30,RJ0CSQUUWFF9W,R23OB4XMH3S9QD,R1K5FQR6CYMQAV,R3QMD6JDUGQUCI,R1R5LTMWOXI38M,R241G3F07D3OBH,R1O7BQ61DXRVWW",142,753,4.26056338028169,7,0.043993231810490696,0,0,0.04780876494023904,0.5985915492957746,0.4014084507042254,0,753,3.9,2,3.9,0.0,753.0,0.9999999999999972,0.9999999999999972,1.0,0.0,0
B08Y1SJVV5,"R7S8ANNSDPR40,R3CLZFLHVJU26P,RFF7U7MPQFUGR,R1MV1NKC23DWPI,R11D3U0V2XKDKF,R18MP1KLUE18PC,RWGJNVEH5ZQME,R1XN72FU6Q37IH",84,473,4.5476190476190474,7,0.09418282548476455,0,0,0.080338266384778,0.5833333333333334,0.4166666666666667,0,473,3.9,2,3.9,0.0,461.0,0.9848059647333228,0.9848059647333228,1.0,0.0,0
B07XLCFSSN,"R213ILI3XNVHQ0,R1LZN1V8UCR9IU,R1EBFTZINSJ0LG,R3BKR3VZ1U81LW,R5OJ20F8H5T8U,R1FKQR9LSBVLH2,R3R8UN7IQY7EIT,R2WBDNEW6HCVSH",217,1227,4.557603686635945,13,0.03242147922998987,1,0,0.02526487367563162,0.5714285714285714,0.42857142857142855,0,1227,4.4,3,4.4,0.0,1227.0,1.0,1.0,1.0,0.0,0
B09RZS1NQT,"RW294SCHB5QTK,R24AGC1O5RVWYI,R3NT7AA2V3I2FB,R2WGLZMFMUHY4G,R34ZQBSQFAGSQB,R26YQ2I8VG8AXE,R1M1FEBTZ4UHXZ,R1QV3OMDYZ42VP",201,1078,4.2288557213930345,20,0.046539379474940336,1,0,0.041743970315398886,0.5472636815920398,0.4527363184079602,0,1078,4.0,2,4.0,0.0,1078.0,1.0000000000000002,1.0000000000000002,1.0,0.0,0
B0B3MMYHYW,"R2J3Q3BUHJ2S7E,R2H2ELE1DG24VY,R1U1S7X7BPSZBU,R9XVQWX40D175,REHUMWC9Q9EAG,RLEFI0WUITF14,R1M41TK6XDE47C,RUM8TBPKUE5UF",947,5195,4.397043294614573,53,0.04316373281890523,0,0,0.0246390760346487,0.40865892291446676,0.5913410770855333,0,5195,4.2,1,4.2,0.0,5195.0,0.0,0.0,0.0,0.0,0
B09C6HWG18,"R32JZC43P990BL,R3H7SAJ305WZL4,R37X6NTSTYLVQA,R2D7LP2EBIX3W8,R3C7TL9CMBKBQK,R3UI3Z6GBVW39Z,R331DK9D3GC0XJ,R2G3RRE7N560V7",238,1354,4.525210084033613,21,0.026119402985074626,0,0,0.04283604135893648,0.5588235294117647,0.4411764705882353,0,1354,4.2,2,4.2,0.0,1354.0,1.0000000000000002,1.0000000000000002,1.0,0.0,0
B00NH11KIK,"R2AE3BN2Y58N55,R6YVRITBSRECR,R232KD83Q3MVML,R23FRK2ABESQGU,R3NE24KAHO8M69,R2PZRPBF9ZAOMA,R1DC9VBYLSSEB,R2BBEAL7JZWXYR",130,710,4.323076923076923,10,0.05605786618444846,0,0,0.04647887323943662,0.6461538461538462,0.35384615384615387,0,710,4.5,2,4.5,0.0,710.0,0.9999999999999997,0.9999999999999997,1.0,0.0,0
B09JPC82QC,"R1VOXBV87EI37W,R1BIBCTNJPJOX3,R2RRCA47QEK9C1,R2WHV3RU3J4985,R22K5MQ8Z8N6L2,R3TQACIQUXT2WO,R2YKPF09C6G76,R1E6GYG29CA7RM",2248,13405,4.603202846975089,168,0.07109098070106341,6,0,0.062140992167101824,0.34119217081850534,0.6588078291814946,0,13405,4.3,1,4.3,0.0,13405.0,0.0,0.0,0.0,0.0,1
B07JW1Y6XV,"R3HXWT0LRP0NMF,R2AJM3LFTLZHFO,R6AQJGUP6P86,R1KD19VHEDV0OR,R3C02RMYQMK6FC,R39GQRVBUZBWGY,R2K9EDOE15QIRJ,R3OI7YT648TL8I",103,608,4.766990291262136,11,0.07337526205450734,0,0,0.0756578947368421,0.6407766990291263,0.3592233009708738,0,608,4.2,1,4.2,0.0,608.0,0.0,0.0,0.0,0.0,0
B07KRCW6LZ,"RSNHWPVLK9SAQ,R2RKKAN3GRHI0G,R1FVWKC3ORTKKX,RTWMPZGIX9EDV,R3TRCC0769D12A,R2NJK9AW0NVU1C,R3M97OC4YJNBQT,R2IUPWWR3XMJ3D",216,1158,4.282407407407407,16,0.05947136563876652,1,0,0.037132987910189985,0.5787037037037037,0.4212962962962963,1,1158,4.3,2,4.3,0.0,1158.0,1.0000000000000007,1.0000000000000007,1.0,0.0,0
B09NJN8L25,"R3F4T5TRYPTMIG,R3DQIEC603E7AY,R1O4Z15FD40PV5,RDVX50PD4CTFE,R3H6WKG0TA5CGU,R3Q3L1KP5QWPV3,RU0LU2PAIIME,R20FTANBPFA653",131,661,3.9236641221374047,17,0.08300395256916997,0,0,0.06505295007564296,0.5877862595419847,0.4122137404580153,0,661,4.0,1,4.0,0.0,661.0,0.0,0.0,0.0,0.0,0
B07XJYYH7L,"RWSHFGBE1WU3I,R1VBNTH3HSMVMB,RTATA9H2ELJ81,R1B0APD6HVOT8V,R99TNL1C7XQ5O,R37RT17N8YUWT4,R1WG1ARVL9YH61,R2UFM5PKO62Z5R",126,720,4.611111111111111,9,0.03852889667250438,0,0,0.03888888888888889,0.5873015873015873,0.4126984126984127,0,720,3.3,2,3.3,0.0,720.0,0.9999999999999978,0.9999999999999978,1.0,0.0,0
B002PD61Y4,"R2EJIN3N3L3XKI,R2JMJ8QNG66LV4,R3B46JNPC2T4E7,R3HHJCTEJ7J9CS,R2LOAPI3SK4RCX,R1MLGZDQDKIVIF,R10KVN4LSVD459,R3BO9D050WHWVX",150,741,3.88,9,0.06086956521739131,0,0,0.037786774628879895,0.5533333333333333,0.44666666666666666,0,741,4.1,2,4.1,0.0,741.0,1.0000000000000009,1.0000000000000009,1.0,0.0,0
B014I8SSD0,"R1FKOKZ3HHKJBZ,R2WNMZI1EXTA0H,RCA1M3W4RIXUR,R3BKCLL6D7ZLIX,REVSR0ILY3547,R15W5KMQB95IV5,R10PB68FRUHT5V,R3TLCE9JSBU3UP",208,1053,3.9663461538461537,16,0.0425273390036452,2,0,0.03608736942070275,0.5576923076923077,0.4423076923076923,0,1053,4.4,1,4.4,0.0,1053.0,0.0,0.0,0.0,0.0,0
B09L8DSSFH,"RVEWH0LAEO3NH,R3E42NTD6HXN1Q,R3IC0VLPIDBPTY,R1F0O9EAQGRSQS,R2B02VD2RPE2SE,RO2E58ZA8YH7E,R10AUMHF2MJRRU,R1BBQYI4QO69ID",214,1197,4.5046728971962615,15,0.02809573361082206,0,1,0.03508771929824561,0.5467289719626168,0.4532710280373832,0,1197,3.6,1,3.6,0.0,1197.0,0.0,0.0,0.0,0.0,0
B07232M876,"R22EUJ1B1AM0OU,R2K89RVGN8N9MO,R177X9L6ND6OA7,R2YU5RDRT44DE6,R1K5FLRLAUZLKF,R1HAZS2PLM3RRQ,R3EX1BCG3VPANF,R1C72DNWTJGUI2",1475,8939,4.690847457627119,95,0.07079128272634197,1,0,0.06622664727598165,0.4040677966101695,0.5959322033898306,2,8939,4.2,2,4.2,0.0,8939.0,0.9999999999999997,0.9999999999999997,1.0,0.0,1
B07P681N66,"R2GUL8IL005EGF,R3NZCVYJBN0CPD,RHUJOS46Q51UG,R1ZW4PQHUECROJ,R7F86XL2S6MY,R1JRRVOFWQAC4C,R2WZHK2E301YV,R10J01VHCKFB42",658,3434,4.132218844984802,43,0.04297022238974746,0,0,0.02766453115899825,0.425531914893617,0.574468085106383,2,3434,4.4,2,4.4,0.0,3434.0,1.0000000000000007,1.0000000000000007,1.0,0.0,1
B0711PVX6Z,"R22EUJ1B1AM0OU,R2K89RVGN8N9MO,R177X9L6ND6OA7,R2YU5RDRT44DE6,R1K5FLRLAUZLKF,R1HAZS2PLM3RRQ,R3EX1BCG3VPANF,R1C72DNWTJGUI2",1475,8939,4.690847457627119,95,0.07079128272634197,1,0,0.06622664727598165,0.4040677966101695,0.5959322033898306,2,8939,4.2,1,4.2,0.0,8939.0,0.0,0.0,0.0,0.0,1
B082T6V3DT,"R1Q0PEVL6X8WZJ,RW0MMI9AUXK5J,R2F3ACPBFRCFSK,R2SB3XYC8XHNUQ,R5L8G10EKZ9ZR,R3W2X53D3BLIBR,R29J3JSPZYQYCM,R35I0ZZH2J58P7",265,1378,4.09811320754717,15,0.03515263644773358,0,0,0.02539912917271408,0.5207547169811321,0.47924528301886793,0,1378,4.3,3,4.3,0.0,1378.0,1.0000000000000004,1.0000000000000004,1.0,0.0,0
B07MKFNHKG,"RFZ1X95QMXWFZ,R1P8SL54VCWSMQ,RSWY4LT0L7TCL,R2GEJ1MJF28QVM,R2K5NT5XE6LM6T,R26BYG85S4SSVY,R3HB3IY6922TUM,R3A3CEQUX9QMFE",468,2446,4.121794871794871,31,0.049102428722280884,1,1,0.03434178250204415,0.5170940170940171,0.4829059829059829,1,2446,4.2,1,4.2,0.0,2446.0,0.0,0.0,0.0,0.0,0
